  0 anonim 0.3  0.33  0.0  0.0  0.0   unknown
  1   h  0.370 1.200  1.00 1.00 1.00  Hydrogen
  2  he  0.320 1.400  0.85 1.00 1.00  Helium
  3  li  1.340 2.200  0.80 0.50 1.00  Lithium
  4  be  0.900 1.900  0.76 1.00 0.00  Beryllium
  5   b  0.820 1.800  1.00 0.71 0.71  Boron
  6   c  0.770 1.700  0.50 0.50 0.50  Carbon
  7   n  0.750 1.600  0.05 0.05 1.00  Nitrogen
  8   o  0.730 1.550  1.00 0.05 0.05  Oxygen
  9   f  0.710 1.500  0.70 1.00 1.00  Fluorine
 10  ne  0.690 1.540  0.70 0.89 0.96  Neon
 11  na  1.540 2.400  0.67 0.36 0.95  Sodium
 12  mg  1.300 2.200  0.54 1.00 0.00  Magnesium
 13  al  1.180 2.100  0.75 0.65 0.65  Aluminium
 14  si  1.110 2.100  0.50 0.60 0.60  Silicon
 15   p  1.060 1.950  1.00 0.50 0.00  Phosphorus
 16   s  1.020 1.800  1.00 1.00 0.19  Sulfur
 17  cl  0.990 1.800  0.12 0.94 0.12  Chlorine
 18  ar  0.970 1.880  0.50 0.82 0.89  Argon
 19   k  1.960 2.800  0.56 0.25 0.83  Potassium
 20  ca  1.740 2.400  0.24 1.00 0.00  Calcium
 21  sc  1.440 2.300  0.90 0.90 0.90  Scandium
 22  ti  1.360 2.150  0.75 0.76 0.78  Titanium
 23   v  1.250 2.050  0.65 0.65 0.67  Vanadium
 24  cr  1.270 2.050  0.54 0.60 0.78  Chromium
 25  mn  1.390 2.050  0.61 0.48 0.78  Manganese
 26  fe  1.250 2.050  0.50 0.48 0.78  Iron
 27  co  1.260 2.000  0.44 0.48 0.78  Cobalt
 28  ni  1.210 2.000  0.36 0.48 0.76  Nickel
 29  cu  1.380 2.000  1.00 0.48 0.38  Copper
 30  zn  1.310 2.100  0.49 0.50 0.69  Zinc
 31  ga  1.260 2.100  0.76 0.56 0.56  Gallium
 32  ge  1.220 2.100  0.40 0.56 0.56  Germanium
 33  as  1.190 2.050  0.74 0.50 0.89  Arsenic
 34  se  1.160 1.900  1.00 0.63 0.00  Selenium
 35  br  1.140 1.900  0.65 0.16 0.16  Bromine
 36  kr  1.100 2.020  0.36 0.72 0.82  Krypton
 37  rb  2.110 2.900  0.44 0.18 0.69  Rubidium
 38  sr  1.920 2.550  0.00 1.00 0.00  Strontium
 39   y  1.620 2.400  0.58 1.00 1.00  Yttrium
 40  zr  1.480 2.300  0.58 0.88 0.88  Zirconium
 41  nb  1.370 2.150  0.45 0.76 0.79  Niobium
 42  mo  1.450 2.100  0.33 0.71 0.71  Molybdenum
 43  tc  1.560 2.050  0.23 0.62 0.62  Technetium
 44  ru  1.260 2.050  0.14 0.56 0.56  Ruthenium
 45  rh  1.350 2.000  0.04 0.49 0.55  Rhodium
 46  pd  1.310 2.050  0.00 0.41 0.52  Palladium
 47  ag  1.530 2.100  0.88 0.88 1.00  Silver
 48  cd  1.480 2.200  1.00 0.85 0.56  Cadmium
 49  in  1.440 2.200  0.65 0.46 0.45  Indium
 50  sn  1.410 2.250  0.40 0.50 0.50  Tin
 51  sb  1.380 2.200  0.62 0.39 0.71  Antimony
 52  te  1.350 2.100  0.83 0.48 0.00  Tellurium
 53   i  1.330 2.100  0.58 0.00 0.58  Iodine
 54  xe  1.300 2.160  0.26 0.62 0.69  Xenon
 55  cs  2.250 3.000  0.34 0.09 0.56  Caesium
 56  ba  1.980 2.700  0.00 0.79 0.00  Barium
 57  la  1.690 2.500  0.44 0.83 1.00  Lanthanum
 58  ce  1.600 2.480  1.00 1.00 0.78  Cerium
 59  pr  1.600 2.470  0.85 1.00 0.78  Praseodymium
 60  nd  1.600 2.450  0.78 1.00 0.78  Neodymium
 61  pm  1.600 2.430  0.64 1.00 0.78  Promethium
 62  sm  1.600 2.420  0.56 1.00 0.78  Samarium
 63  eu  1.600 2.400  0.38 1.00 0.78  Europium
 64  gd  1.600 2.380  0.27 1.00 0.78  Gadolinium
 65  tb  1.600 2.370  0.19 1.00 0.78  Terbium
 66  dy  1.600 2.350  0.12 1.00 0.78  Dysprosium
